Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,0.396623,0.438560,0.383835,0.412419,0.412419,3501396594
2021-02-11,0.411791,0.464213,0.411791,0.452912,0.452912,3244799993
2021-02-12,0.452900,0.530949,0.440782,0.527843,0.527843,3705074297
2021-02-13,0.526854,0.600825,0.515171,0.559948,0.559948,5519338626
2021-02-14,0.560921,0.574094,0.498730,0.517644,0.517644,3078578193
2021-02-15,0.516416,0.537089,0.436805,0.493762,0.493762,3202896143
2021-02-16,0.493445,0.513889,0.472625,0.486610,0.486610,2101777439
2021-02-17,0.486527,0.507955,0.459225,0.497002,0.497002,1859433188
2021-02-18,0.496831,0.515467,0.486292,0.497508,0.497508,1663443587
2021-02-19,0.497597,0.521300,0.486387,0.513602,0.513602,1683567104
2021-02-20,0.513544,0.532082,0.467735,0.488006,0.488006,2152043635
2021-02-21,0.487370,0.508419,0.478347,0.498768,0.498768,1691495133
2021-02-22,0.498626,0.523043,0.399723,0.466957,0.466957,2952779389
2021-02-23,0.466542,0.466542,0.322049,0.386530,0.386530,2962479689
2021-02-24,0.386795,0.432824,0.370403,0.407240,0.407240,1862049592
2021-02-25,0.407084,0.425786,0.381269,0.381269,0.381269,1320643982
2021-02-26,0.382205,0.401098,0.357837,0.400678,0.400678,1387062138
2021-02-27,0.401020,0.470942,0.401020,0.441458,0.441458,2799346118
2021-02-28,0.441513,0.451634,0.386119,0.406651,0.406651,1888502990
2021-03-01,0.406942,0.435909,0.403503,0.430318,0.430318,1390709358
2021-03-02,0.430409,0.436545,0.399533,0.419565,0.419565,1167447987
2021-03-03,0.420124,0.438043,0.414655,0.422105,0.422105,1195050006
2021-03-04,0.421876,0.427286,0.404421,0.413222,0.413222,1067768373
2021-03-05,0.412792,0.412792,0.388260,0.406170,0.406170,839856756
2021-03-06,0.405861,0.408054,0.394103,0.403310,0.403310,680865154
2021-03-07,0.403360,0.421909,0.403360,0.412844,0.412844,796240412
2021-03-08,0.412990,0.420215,0.403189,0.417532,0.417532,857074336
2021-03-09,0.417489,0.433775,0.412946,0.432650,0.432650,1048814189
2021-03-10,0.432330,0.432621,0.407995,0.410769,0.410769,975485394
2021-03-11,0.410388,0.412951,0.397844,0.405900,0.405900,952021130
2021-03-12,0.406159,0.407849,0.382021,0.387871,0.387871,932051704
2021-03-13,0.387941,0.411789,0.377660,0.408264,0.408264,1078554244
2021-03-14,0.408054,0.408270,0.390867,0.391533,0.391533,788965241
2021-03-15,0.391378,0.398947,0.371128,0.385499,0.385499,979911106
2021-03-16,0.385337,0.410486,0.375692,0.395747,0.395747,1172225532
2021-03-17,0.395801,0.406407,0.388862,0.404744,0.404744,931660142
2021-03-18,0.404692,0.409544,0.387722,0.397609,0.397609,857862584
2021-03-19,0.397451,0.403751,0.391117,0.398328,0.398328,779831001
2021-03-20,0.398286,0.439220,0.396472,0.417488,0.417488,1573144660
2021-03-21,0.417621,0.425371,0.395432,0.404999,0.404999,1202061273
2021-03-22,0.404982,0.425933,0.396546,0.396740,0.396740,1398256291
2021-03-23,0.396633,0.411715,0.392164,0.400086,0.400086,1103779839
2021-03-24,0.399935,0.406021,0.360685,0.368639,0.368639,976328018
2021-03-25,0.368400,0.373741,0.350271,0.365900,0.365900,1066307446
2021-03-26,0.366000,0.388926,0.364910,0.387505,0.387505,905696765
2021-03-27,0.387460,0.392437,0.375505,0.384722,0.384722,716032418
2021-03-28,0.384728,0.414434,0.381362,0.399341,0.399341,1322103231
2021-03-29,0.399779,0.412981,0.394829,0.407883,0.407883,932211824
2021-03-30,0.407803,0.415185,0.403324,0.405941,0.405941,883027112
2021-03-31,0.405910,0.412399,0.388911,0.410898,0.410898,1052641432
2021-04-01,0.411138,0.436558,0.408600,0.432512,0.432512,1465378533
2021-04-02,0.432389,0.472328,0.432389,0.446585,0.446585,2189259118
2021-04-03,0.446040,0.465448,0.417844,0.418054,0.418054,1617541085
2021-04-04,0.418045,0.442787,0.412271,0.437807,0.437807,1213059845
2021-04-05,0.437827,0.550972,0.433933,0.536367,0.536367,4476131328
2021-04-06,0.539074,0.581041,0.487475,0.542744,0.542744,4717764852
2021-04-07,0.543126,0.548016,0.457965,0.473280,0.473280,2697133800
2021-04-08,0.473695,0.507160,0.471223,0.506816,0.506816,1584288709
2021-04-09,0.507053,0.507053,0.478914,0.486387,0.486387,1072231147
2021-04-10,0.486935,0.593161,0.483300,0.561829,0.561829,3632750033
2021-04-11,0.562593,0.654936,0.556328,0.588810,0.588810,5784803709
2021-04-12,0.585272,0.606282,0.567617,0.590592,0.590592,2677108329
2021-04-13,0.590266,0.683775,0.577397,0.655356,0.655356,4359650544
2021-04-14,0.655471,0.689814,0.588875,0.636735,0.636735,3686360458
2021-04-15,0.636646,0.649466,0.615953,0.641040,0.641040,1884434890
2021-04-16,0.640499,0.654250,0.567647,0.613263,0.613263,2279497102
2021-04-17,0.611468,0.644146,0.595684,0.599255,0.599255,1747763981
2021-04-18,0.598581,0.605939,0.463715,0.544734,0.544734,2642964343
2021-04-19,0.545594,0.566025,0.493378,0.501234,0.501234,1896493046
2021-04-20,0.499658,0.529685,0.470132,0.527950,0.527950,1793260649
2021-04-21,0.529435,0.537815,0.485602,0.492088,0.492088,1483729152
2021-04-22,0.490620,0.512949,0.446530,0.450346,0.450346,1696917155
2021-04-23,0.450246,0.456459,0.366694,0.450892,0.450892,2437398588
2021-04-24,0.451023,0.460183,0.413715,0.425746,0.425746,1406030264
2021-04-25,0.425383,0.444662,0.401994,0.416438,0.416438,1131194565
2021-04-26,0.416658,0.486366,0.414844,0.485610,0.485610,1580164878
2021-04-27,0.486563,0.522120,0.476718,0.509479,0.509479,1554353642
2021-04-28,0.509858,0.521321,0.476058,0.497349,0.497349,1117111605
2021-04-29,0.497523,0.508478,0.477725,0.491797,0.491797,879179804
