Date,Price,Open,High,Low,Vol.,Change %
19-Jul-21,66.42,71.49,71.67,65.63,82.57K,-0.0751
16-Jul-21,71.81,71.48,72.3,70.41,133.93K,0.0022
15-Jul-21,71.65,72.96,72.96,71.4,368.68K,-0.0202
14-Jul-21,73.13,75.17,75.44,72.21,528.36K,-0.0282
13-Jul-21,75.25,74.18,75.52,73.68,444.08K,0.0155
12-Jul-21,74.1,74.74,74.93,73.16,397.93K,-0.0062
9-Jul-21,74.56,73.26,74.76,72.72,422.15K,0.0222
8-Jul-21,72.94,72.17,73.26,70.76,529.69K,0.0102
7-Jul-21,72.2,73.85,74.86,71.07,607.97K,-0.0159
6-Jul-21,73.37,75.35,76.98,72.94,714.04K,-0.0378
5-Jul-21,76.25,75.15,76.4,74.75,-,0.0148
4-Jul-21,75.14,75.22,75.28,75,-,-0.0003
2-Jul-21,75.16,75.02,75.62,74.41,377.53K,-0.0009
1-Jul-21,75.23,73.5,76.22,73.39,615.68K,0.024
30-Jun-21,73.47,73.47,74.14,72.82,383.63K,0.0067
29-Jun-21,72.98,72.78,73.81,71.97,321.45K,0.001
28-Jun-21,72.91,73.99,74.45,72.62,354.70K,-0.0154
25-Jun-21,74.05,73.32,74.18,72.85,364.72K,0.0102
24-Jun-21,73.3,73.28,73.61,72.32,334.83K,0.003
23-Jun-21,73.08,72.91,74.25,72.82,429.21K,0.0003
22-Jun-21,73.06,73.41,73.95,72.94,29.00K,-0.0081
21-Jun-21,73.66,71.52,73.96,71.15,123.66K,0.0282
18-Jun-21,71.64,71.1,72.17,70.16,139.58K,0.0084
17-Jun-21,71.04,71.65,72.3,69.77,373.78K,-0.0154
16-Jun-21,72.15,72.45,72.99,71.61,426.78K,0.0004
15-Jun-21,72.12,71.16,72.49,70.81,336.04K,0.0175
14-Jun-21,70.88,70.65,71.78,70.65,319.64K,-0.0004
11-Jun-21,70.91,70.1,71.24,69.68,563.58K,0.0088
10-Jun-21,70.29,69.76,70.65,68.68,492.46K,0.0047
9-Jun-21,69.96,70.01,70.62,69.46,410.82K,-0.0013
8-Jun-21,70.05,69.29,70.27,68.47,441.30K,0.0118
7-Jun-21,69.23,69.52,70,68.93,365.62K,-0.0056
4-Jun-21,69.62,68.91,69.76,68.33,326.25K,0.0118
3-Jun-21,68.81,68.76,69.4,68.19,351.37K,-0.0003
2-Jun-21,68.83,67.99,69,67.78,333.00K,0.0164
1-Jun-21,67.72,66.68,68.87,66.41,570.99K,0.0114
31-May-21,66.96,66.58,67.41,66.41,-,0.0056
30-May-21,66.59,66.7,66.75,66.53,-,0.0041
28-May-21,66.32,66.95,67.52,66.17,390.46K,-0.0079
27-May-21,66.85,66.16,66.92,65.47,337.54K,0.0097
26-May-21,66.21,66.04,66.43,65.25,376.21K,0.0021
25-May-21,66.07,66.02,66.51,65.41,497.39K,0.0003
24-May-21,66.05,63.87,66.14,63.63,466.65K,0.0388
21-May-21,63.58,61.89,64.07,61.56,530.83K,0.0247
20-May-21,62.05,63.39,63.96,61.89,29.62K,-0.0207
19-May-21,63.36,65.28,65.35,61.95,101.90K,-0.0325
18-May-21,65.49,66.33,67.01,64.11,167.35K,-0.0118
17-May-21,66.27,65.5,66.43,64.83,268.48K,0.0138
14-May-21,65.37,63.83,65.62,63.33,383.75K,0.0243
13-May-21,63.82,65.75,65.81,63.09,547.69K,-0.0342
12-May-21,66.08,65.46,66.63,64.97,508.52K,0.0123
11-May-21,65.28,64.9,65.5,63.68,514.95K,0.0055
10-May-21,64.92,65.57,65.75,63.95,448.34K,0.0003
7-May-21,64.9,64.9,65.24,63.9,431.42K,0.0029
6-May-21,64.71,65.27,65.98,64.5,389.21K,-0.014
5-May-21,65.63,66.45,66.76,64.92,460.07K,-0.0009
4-May-21,65.69,64.53,66.19,64.29,370.21K,0.0186
3-May-21,64.49,63.64,64.68,62.91,285.97K,0.0143
30-Apr-21,63.58,64.88,64.95,63.08,400.52K,-0.022
29-Apr-21,65.01,63.7,65.47,63.65,384.49K,0.018
28-Apr-21,63.86,63.04,64.53,62.67,387.68K,0.0146
27-Apr-21,62.94,61.97,63.3,61.91,361.54K,0.0166
26-Apr-21,61.91,62.06,62.31,60.66,366.87K,-0.0037
23-Apr-21,62.14,61.65,62.43,61.25,345.41K,0.0116
22-Apr-21,61.43,61.11,61.87,60.61,344.70K,0.0013
21-Apr-21,61.35,62.39,62.56,60.86,431.49K,-0.0175
20-Apr-21,62.44,63.47,64.25,61.5,33.04K,-0.0148
19-Apr-21,63.38,62.98,63.63,62.63,74.38K,0.004
16-Apr-21,63.13,63.32,63.88,62.83,87.80K,-0.0052
15-Apr-21,63.46,62.83,63.57,62.53,243.37K,0.0049
14-Apr-21,63.15,60.44,63.44,60.38,419.81K,0.0494
13-Apr-21,60.18,59.64,60.59,59.64,349.73K,0.008
12-Apr-21,59.7,59.35,60.77,58.73,410.22K,0.0064
9-Apr-21,59.32,59.76,59.95,59.1,351.44K,-0.0047
8-Apr-21,59.6,59.52,59.93,58.82,419.91K,-0.0028
7-Apr-21,59.77,59.26,60.04,58.12,475.54K,0.0074
6-Apr-21,59.33,58.8,60.9,58.62,457.35K,0.0116
5-Apr-21,58.65,61.5,61.5,57.63,438.86K,-0.0456
1-Apr-21,61.45,59.49,61.75,58.86,605.57K,0.0387
31-Mar-21,59.16,60.45,61.17,58.85,414.16K,-0.023
30-Mar-21,60.55,61.96,62.27,59.94,388.19K,-0.0164
29-Mar-21,61.56,60.93,61.77,59.41,449.36K,0.0097
