Date,Price,Open,High,Low,Vol.,Change %
14-Apr-21,1212.7,1185,1212.7,1183,0.21K,0.0271
13-Apr-21,1180.7,1189.5,1205.5,1161.1,0.28K,0.02
12-Apr-21,1157.5,1120.7,1157.5,1120,0.16K,0.0284
9-Apr-21,1125.5,1109.7,1143,1103.5,0.16K,0.0173
8-Apr-21,1106.4,1081.7,1106.4,1064.5,0.34K,0.0298
7-Apr-21,1074.4,1055.1,1075.4,1053.5,0.21K,0.0288
6-Apr-21,1044.3,1023.3,1048.3,1023.2,0.27K,0.0228
5-Apr-21,1021,1013.2,1032.8,1013.2,0.18K,0.0083
1-Apr-21,1012.6,1012.6,1022.8,1006,0.23K,0.0035
31-Mar-21,1009.1,989,1014.1,985,0.26K,0.0197
30-Mar-21,989.6,974,997.2,963.2,0.27K,0.0253
29-Mar-21,965.2,947.5,974.8,941.5,0.17K,0.0128
26-Mar-21,953,969.3,969.3,949,0.20K,-0.0211
25-Mar-21,973.5,943,973.8,935.5,0.23K,0.0293
24-Mar-21,945.8,942.4,949.8,917.4,0.15K,0.0036
23-Mar-21,942.4,935.2,950.9,922,0.25K,0.0175
22-Mar-21,926.2,900,933.6,864,0.41K,0.0447
19-Mar-21,886.6,860,886.6,857.7,0.24K,0.0374
18-Mar-21,854.6,862.1,879.9,844.7,0.15K,0.0005
17-Mar-21,854.2,838,866.7,826.3,0.26K,0.0169
16-Mar-21,840,851.2,863.8,830.5,0.21K,-0.1923
15-Mar-21,1040,1002.6,1045,1002.6,0.00K,0.0316
12-Mar-21,1008.1,972,1008.1,972,0.06K,0.0371
11-Mar-21,972,978.3,993,966,0.06K,-0.0131
10-Mar-21,984.9,998.7,999,969,0.05K,-0.0053
9-Mar-21,990.1,985.9,998,985,0.10K,0.0012
8-Mar-21,988.9,991,994,976,0.06K,0.006
5-Mar-21,983,988.7,991,969.9,0.06K,0.002
4-Mar-21,981,982,994,977,0.06K,0.001
3-Mar-21,980,975,1000.8,975,0.07K,-0.0106
2-Mar-21,990.5,965,994,957,0.21K,0.0169
1-Mar-21,974,1000,1015.7,959,0.12K,-0.0217
26-Feb-21,995.6,1007,1011,986.7,0.17K,-0.0113
25-Feb-21,1007,1010.8,1013.7,996.1,0.12K,-0.0038
24-Feb-21,1010.8,1014.4,1021.5,997,0.20K,-0.0072
23-Feb-21,1018.1,1024.2,1030.4,989.8,0.21K,-0.0036
22-Feb-21,1021.8,982,1022.3,982,0.36K,0.0318
19-Feb-21,990.3,1004,1004.5,978.9,0.30K,-0.0141
18-Feb-21,1004.5,986.9,1004.9,984.1,0.30K,0.0179
17-Feb-21,986.8,995.9,996.3,980.3,0.29K,-0.0056
16-Feb-21,992.4,979,994.9,968.3,0.27K,0.0105
12-Feb-21,982.1,979,991.9,970.7,0.23K,0.0032
11-Feb-21,979,950.8,982.8,950.8,0.37K,0.0297
10-Feb-21,950.8,943.8,970,941.6,0.16K,0.004
9-Feb-21,947,926.9,950.9,920,0.18K,0.0074
8-Feb-21,940,950,951,905.6,0.24K,0.0266
5-Feb-21,915.6,881,915.6,880,0.17K,0.0362
4-Feb-21,883.6,884,889.4,867.7,0.13K,-0.0005
3-Feb-21,884,866,889.4,850.4,0.17K,0.031
2-Feb-21,857.4,869.4,876.9,842.9,0.18K,-0.0154
1-Feb-21,870.8,887,890,859,0.30K,-0.0183
29-Jan-21,887,888.8,897,868.8,0.27K,-0.0063
28-Jan-21,892.6,858,897,858,0.17K,0.0319
27-Jan-21,865,870,875,828.8,0.24K,0.0116
26-Jan-21,855.1,831.4,855.1,831.4,0.26K,0.0389
25-Jan-21,823.1,828,842.9,800.6,0.40K,0.034
22-Jan-21,796,796,796,796,0.41K,0.0642
21-Jan-21,748,739.4,748,732,0.20K,0.0686
20-Jan-21,700,679.2,700,679.2,0.25K,0.0479
19-Jan-21,668,657,683.7,651.4,0.12K,-0.1651
15-Jan-21,800.1,821,830,800.1,0.01K,-0.0509
14-Jan-21,843,810,868.8,810,0.06K,0.0407
13-Jan-21,810,822,822,810,0.01K,-0.0146
12-Jan-21,822,841,841,810,0.08K,-0.0255
11-Jan-21,843.5,865,871.3,840.3,0.08K,-0.0305
8-Jan-21,870,895.1,895.1,870,0.02K,-0.0216
7-Jan-21,889.2,896,905,889.2,0.04K,-0.0142
6-Jan-21,902,884.6,912.2,870,0.11K,0.0279
5-Jan-21,877.5,867.5,885,864.9,0.15K,0.0008
4-Jan-21,876.8,873.1,883,864,0.12K,0.2212
1-Jan-21,718,718,718,718,-,-0.1776
31-Dec-20,873.1,869.1,875,847,0.16K,-0.0009
30-Dec-20,873.9,883.1,883.1,867.7,0.12K,-0.016
29-Dec-20,888.1,884.5,896.6,858.8,0.19K,0.0035
28-Dec-20,885,897.1,897.1,866,0.16K,0.0007
24-Dec-20,884.4,872,889.6,872,0.11K,0.0175
23-Dec-20,869.2,885,895,863.2,0.30K,-0.0174
22-Dec-20,884.6,892.3,900.5,871,0.32K,0.0026
21-Dec-20,882.3,829.4,882.3,829.4,0.28K,0.0376
18-Dec-20,850.3,851.1,853.6,827,0.37K,0.0121
17-Dec-20,840.1,825,850.6,814.6,0.29K,0.0263
16-Dec-20,818.6,829.3,830.5,794,0.29K,-0.009
15-Dec-20,826,826.9,845,801.2,0.38K,0.016
14-Dec-20,813,800,819.8,785,0.28K,0.0226
11-Dec-20,795,796.1,801.6,762.2,0.40K,0.0108
10-Dec-20,786.5,747.5,786.5,747.5,0.44K,0.0424
9-Dec-20,754.5,736.7,757.2,736.7,0.32K,0.0404
8-Dec-20,725.2,702.7,728.8,701.4,0.34K,0.0408
7-Dec-20,696.8,680,697.8,680,0.28K,0.0268
4-Dec-20,678.6,666.7,678.7,659.2,0.30K,0.0282
3-Dec-20,660,657.5,663.4,653.6,0.18K,0.0169
2-Dec-20,649,633,657.4,633,0.30K,0.0217
1-Dec-20,635.2,641.2,648.9,634.5,0.24K,-0.0025
30-Nov-20,636.8,627.5,648,615,0.26K,0.0094
27-Nov-20,630.9,620.5,632.1,614.3,0.05K,0.0224
25-Nov-20,617.1,603,625,599.2,0.13K,0.0276
24-Nov-20,600.5,612,612.1,586.6,0.26K,-0.0289
23-Nov-20,618.4,635,635,614.1,0.19K,-0.0186
20-Nov-20,630.1,625.8,641.3,622,0.20K,0.0214
19-Nov-20,616.9,595.2,627.7,593.5,0.23K,0.0356
18-Nov-20,595.7,615.9,622.1,593.1,0.22K,-0.0244
17-Nov-20,610.6,596.3,617.7,590.8,0.34K,0.0288
16-Nov-20,593.5,574.8,599.4,574.8,0.17K,0.0075
13-Nov-20,589.1,579.9,589.1,572.9,0.06K,0.0538
12-Nov-20,559,565,569,559,0.05K,-0.0184
11-Nov-20,569.5,580,580,569.2,0.02K,-0.0181
10-Nov-20,580,569.9,589.4,569.9,0.06K,-0.0085
9-Nov-20,585,565,585,565,0.05K,0.0537
6-Nov-20,555.2,565,569.3,540.8,0.08K,-0.0189
